geneID,geneName,X1..1,X1..2,X1..3,X2..1,X2..2,X2..3,X3..1,X3..2,X3..3,X4..1,X4..2,X4..3
ENSMUSG00000101225,1700008J07Rik,9,23,11,8,8,17,8,4,10,7,15,8
ENSMUSG00000101012,1700008K24Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000109657,1700008N11Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000008028,1700008O03Rik,0,0,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000069118,1700008P02Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101404,1700009C05Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000096573,1700009J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028287,1700009N14Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000057047,1700010B08Rik,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099958,1700010B13Rik,0,0,0,0,0,0,0,0,3,0,0,6
ENSMUSG00000071721,1700010D01Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000115752,1700010G06Rik,0,1,2,4,0,0,0,0,0,0,4,0
ENSMUSG00000067101,1700010H22Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100010,1700010I02Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023873,1700010I14Rik,7,14,11,5,13,10,4,8,10,6,6,3
ENSMUSG00000100314,1700010J16Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000092599,1700010K23Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085102,1700010K24Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000030636,1700010L04Rik,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101855,1700010N08Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102099,1700011B04Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000108800,1700011C11Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000108791,1700011D18Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000109759,1700011L03Rik,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000031682,1700011L22Rik,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000079476,1700011M02Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029766,1700012A03Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000020617,1700012B07Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000031927,1700012B09Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086482,1700012C08Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085470,1700012C14Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000110424,1700012D14Rik,8,22,16,7,17,13,8,9,12,12,14,4
ENSMUSG00000105023,1700012D16Rik,0,0,0,0,4,0,0,0,0,0,1,0
ENSMUSG00000101275,1700012E03Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102069,1700012I11Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000107394,1700012J15Rik,0,0,0,0,0,0,0,0,0,0,0,0
